projectid_head,projectid1,projectid2,projectid3,projectid4,countrycode,countryname,region,countryclassification_current,countryclassification_at_approval,projectname,modality,mode_of_fin_assistance,modality_financing,funding_source,approved_amount_usd_m,disbursed_amonut_usd_m,committed_amount_usd_m,approvaldate,approvalyear,loangisnged,loaneffective_initial,loaneffective_final,closingdate_initial,closingdate_final,cofin_approval_usd_m,cofin_act_usd_m,totalcost_initial,totalcost_final,sector1,sector1a,sector2,sector2a,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
30207,30207,,,,SRI,Sri Lanka,South Asia,B,B1,Power Sector Development Program (Project Loan),Project,SDP - Project loan,,COL,70,80.89,69.89308092,10/31/02,2002,11/12/02,11/12/02,11/28/02,6/30/07,5/12/10,,,,,Energy,Energy sector development and institutional reform,na,na,-,-,-,-,-,-,-,-
30240,30240,,,,CAM,Cambodia,Southeast Asia,A,A,Greater Mekong Subregion: Cambodia Road Improvement Project,Project,Project loan,,COL,50,54.15,52.1502179,11/26/02,2002,2/7/03,5/9/03,5/20/03,6/30/07,9/15/11,10,10,77.5,86.97,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
30255,30255,,,,LAO,Lao People's Democratic Republic,Southeast Asia,A,A,Rural Access Roads Project,Project,Project loan,,COL,25,27.48,24.9,12/7/00,2000,2/16/01,5/16/01,5/16/01,4/30/05,4/9/08,5,5,37.5,38.01,Transportation,Road transport (non-urban),na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
30271,30271,,,,LAO,Lao People's Democratic Republic,Southeast Asia,A,A,Roads for Rural Development Project,Project,Project loan,,COL,17.7,18.79,18.63879788,6/28/04,2004,12/15/04,3/15/05,6/30/05,6/30/12,6/17/13,13.3,16.32,39.2,49.46,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
30286,30286,,,,VIE,Viet Nam,Southeast Asia,C,B1,Central Region Small and Medium Towns Development Project,Project,Project loan,Project loan,COL,53.22,51.89,54.50337308,11/17/06,2006,5/24/07,8/22/07,8/27/07,6/30/12,4/1/15,0,0,66.72,68.91,Water,Urban sewerage,na,na,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
30303,30303,,,,IND,India,South Asia,B,B2,Karnataka Urban Development and Coastal Environmental Management Project,Project,Project loan,,OCR,175,145,175,10/26/99,1999,5/19/00,8/17/00,9/21/00,6/30/05,11/25/09,0,0,251.4,240.87,Water,"Urban policy, institutional and capacity development",na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
30308,30308,,,,PHI,Philippines,Southeast Asia,C,C,Pasig River Environmental Mgmt & Rehab Sector Development Program,Program/Project,SDP loan,,OCR,175,163,175,7/20/00,2000,7/21/00,10/20/00,8/17/00,1/31/06,3/5/09,0,0,150,98,Water,Renovation and protection of cultural heritage,na,na,unsuccessful,less than relevant,ineffective,inefficient,less than likely sustainable,satisfactory (policy loan); less than satisfactory (investment loan),satisfactory (policy loan); less than satisfactory (investment loan),satisfactory
30308,30308,,,,PHI,Philippines,Southeast Asia,C,C,Pasig River Environmental Management and Rehabilitation Sector Development Program (Program Loan),Program,SDP - Program loan,,OCR,100,100,100,7/20/00,2000,7/21/00,10/20/00,8/17/00,6/30/02,12/11/03,,,,,Water,Renovation and protection of cultural heritage,na,na,nr,nr,nr,nr,nr,satisfactory,satisfactory,nr
30308,30308,,,,PHI,Philippines,Southeast Asia,C,C,Pasig River Environmental Management and Rehabilitation Sector Development Program (Project Loan),Project,SDP - Project loan,,OCR,75,62.99,75,7/20/00,2000,7/21/00,10/20/00,8/17/00,1/31/06,3/5/09,,,,,Water,Renovation and protection of cultural heritage,na,na,nr,nr,nr,nr,nr,less than satisfactory,less than satisfactory,nr
30311,30311,,,,KGZ,Kyrgyz Republic,Central and West Asia,A,A,Third Road Rehabilitation Project,Project,Project loan,,COL,40,45.89,39.8,10/31/01,2001,4/29/02,7/29/02,9/12/02,4/30/05,12/10/07,0,0,50,57.1,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,satisfactory,less than satisfactory
30316,30316,,,,VIE,Viet Nam,Southeast Asia,C,B1,GMS: Phnom Penh to Ho Chi Minh City Highway (Regional) Project,Project,Project loan,,COL,100,90.89,97,12/15/98,1998,3/20/99,6/18/99,11/9/99,6/30/03,5/12/06,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
30386,30386,,,,PRC,China,East Asia,C,B2,Shen-Da Power Transmission and Grid Rehabilitation Project,Project,Project loan,,OCR,100,63,100,12/20/01,2001,4/11/02,7/10/02,2/20/03,12/31/05,11/29/06,240,261.6,475,411.81,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory
30403,30403,,,,PRC,China,East Asia,C,B2,Coal Mine Methane Development Project,Project,Project loan,,OCR,117.4,114.64,117.4,12/20/04,2004,3/24/05,6/30/05,10/4/05,6/30/09,1/28/11,20.5,20.4,237,288.6,Energy,Conventional energy generation,na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
30424,30424,,,,PRC,China,East Asia,C,B2,Shaanxi Roads Development Project,Project,Project loan,,OCR,250,248.46,250,8/30/01,2001,6/10/02,9/8/02,11/8/02,3/31/06,1/7/10,181,362.39,757,965.5,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
30451,30451,,,,LAO,Lao People's Democratic Republic,Southeast Asia,A,A,Water Supply and Sanitation Project,Project,Project loan,,COL,20,20.72,19.54,11/16/99,1999,3/14/00,6/12/00,7/10/00,6/30/06,7/29/08,0,0,25,23.43,Water,Urban water supply,na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
30480,30480,,,,PHI,Philippines,Southeast Asia,C,C,Metro Manila Air Quality Improvement Sector Development Program (Policy Loan),Program/Project,SDP loan,,OCR,296,234.91,297.19,12/16/98,1998,12/21/98,3/21/99,12/29/98,12/31/03,11/17/08,175.99,170.89,347.3,241.87,Transportation,Transport policies and institutional development,na,na,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,unsatisfactory,unsatisfactory,less than satisfactory
30480,30480,,,,PHI,Philippines,Southeast Asia,C,C,Metro Manila Air Quality Improvement Sector Development Program (Policy Loan),Program,SDP - Policy  loan,,OCR,200,200,200,12/16/98,1998,12/21/98,3/21/99,12/29/98,12/31/02,12/12/03,,,,,Transportation,Transport policies and institutional development,na,na,-,-,-,-,-,-,-,-
30480,30480,,,,PHI,Philippines,Southeast Asia,C,C,Metro Manila Air Quality Improvement Sector Development Program (Air Pollution Control Facility),Program,SDP - Facility loan,,OCR,25,5.92,26.19,12/16/98,1998,12/21/98,3/21/99,12/29/98,12/29/03,12/29/03,,,,,Transportation,Transport policies and institutional development,na,na,-,-,-,-,-,-,-,-
30480,30480,,,,PHI,Philippines,Southeast Asia,C,C,Metro Manila Air Quality Improvement Sector Development Program (Investment Loan),Project,SDP - Investment loan,,OCR,71,29,71,12/16/98,1998,12/21/98,3/21/99,12/29/98,12/31/03,11/17/08,,,,,Transportation,Transport policies and institutional development,na,na,-,-,-,-,-,-,-,-
30506,30506,,,,UZB,Uzbekistan,Central and West Asia,B,C,Railway Modernization Project,Project,Project loan,,OCR,70,70,70,10/31/00,2000,5/17/01,8/15/01,9/21/01,12/31/05,3/30/07,5,5,155,131.19,Transportation,Rail transport (non-urban),na,na,successful,relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,highly satisfactory
30513,30513,30316,,,REG,#N/A,Southeast Asia,REG,REG,GMS: Phnom Penh to Ho Chi Minh City Highway (Regional) Project,Project,Project loan,,COL,140,129.04,14.18,12/15/98,1998,3/20/99,6/18/99,11/9/99,6/30/03,7/20/06,0,0,195.5,211.78,Transportation,Road transport (non-urban),na,na,successful,highly relevant,effective,efficient,less than likely sustainable,less than satisfactory (CAM); satisfactory (VIE),less than satisfactory (CAM); satisfactory (VIE),satisfactory
30513,30513,,,,CAM,Cambodia,Southeast Asia,A,A,GMS: Phnom Penh to Ho Chi Minh City Highway (Regional) Project,Project,Project loan,,COL,40,38.15,38.8,12/15/98,1998,3/20/99,6/18/99,11/9/99,6/30/03,7/20/06,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
30551,30551,,,,PHI,Philippines,Southeast Asia,C,C,Mindanao Basic Urban Services Project,Project,Credit line (Loan),,OCR,30,19.53,28.75058658,9/27/01,2001,5/15/02,8/13/02,9/13/02,6/30/08,11/18/09,6,6,60,40.33,Water,Other urban services,TRA,Road transport (non-urban),less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
31190,31190,,,,PRC,China,East Asia,C,B2,Tianjin Wastewater Treatment and Water Resources Project,Project,Project loan,,OCR,130,128.41,130,12/11/00,2000,8/1/01,10/30/01,10/30/01,6/30/06,9/5/07,87.8,87.8,340.7,337.33,Water,Urban water supply; Urban sewerage,na,na,successful,relevant,effective,efficient,most likely sustainable,satisfactory,satisfactory,satisfactory
31197,31197,,,,KGZ,Kyrgyz Republic,Central and West Asia,A,A,Community-Based Infrastruture Services Sector Project (Supplementary),Project,Project grant,,ADF,30,8.16,30,11/3/08,2008,11/24/08,1/23/09,12/19/08,6/30/13,10/14/13,0,0,37.5,9.83,Water,"Urban policy, institutional and capacity development",na,na,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,unsatisfactory,unsatisfactory,less than satisfactory
31243,31243,,,,MON,Mongolia,East Asia,B,A,Integrated Development of Basic Urban Services in Provincial Towns Project,Project,Project loan,,COL,20.1,16.54,20.59631765,8/6/02,2002,9/5/02,12/4/02,11/25/02,6/30/08,11/18/09,0,0,26.5,19,Water,Urban water supply,ENE,Energy utility services,less than successful,relevant,less than effective,less than efficient,unlikely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
31280,31280,,,,SRI,Sri Lanka,South Asia,B,B1,Road Sector Development Project,Project,Sector loan,,COL,56.5,60.29,58.847085,12/19/02,2002,2/10/03,5/11/03,5/22/03,6/30/08,5/14/09,8.5,7.9,92.5,102.2,Transportation,Road transport (non-urban),na,na,less than successful,relevant,less than effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
31296,31296,,,,BAN,Bangladesh,South Asia,B,B1,West Zone Power System Development Project,Project,Project loan,,COL/OCR,198.9,164.2,198.6277937,12/17/01,2001,1/17/02,4/17/02,11/7/02,9/30/06,11/8/10,0,0,402.1,333.76,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,highly effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory
31296,31296,,,,BAN,Bangladesh,South Asia,B,B1,West Zone Power System Development Project,Project,Project loan,,COL,60.2,49.27307511,59.92779369,12/17/01,2001,1/17/02,4/17/02,11/7/02,6/30/08,6/21/10,,,,,Energy,Electricity transmission and distribution,na,na,-,-,-,-,-,-,-,-
31296,31296,,,,BAN,Bangladesh,South Asia,B,B1,West Zone Power System Development Project,Project,Project loan,,OCR,138.7,114.8273439,138.7,12/17/01,2001,1/17/02,4/17/02,11/7/02,3/31/10,11/8/10,,,,,Energy,Electricity transmission and distribution,na,na,-,-,-,-,-,-,-,-
31304,31304,,,,BAN,Bangladesh,South Asia,B,B1,Rural Infrastructure Improvement Project,Project,Project loan,,COL,60,58.37,62.57888494,12/2/02,2002,2/3/03,5/4/03,9/7/03,6/30/09,8/12/09,16.9,30,112.4,123.3,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
31324,31324,,,,IND,India,South Asia,B,B2,State Power Sector Reform Project,Project,Credit line (Loan),,OCR,150,21.47,150,12/12/02,2002,12/11/03,3/10/04,4/7/04,6/30/08,9/5/08,0,0,392.7,62.3,Energy,Energy sector development and institutional reform,na,na,unsuccessful,less than relevant,ineffective,inefficient,less than likely sustainable,unsatisfactory,unsatisfactory,less than satisfactory
31341,31341,,,,LAO,Lao People's Democratic Republic,Southeast Asia,A,A,Northern Area Rural Power Distribution Project,Project,Project loan,,COL,30,31.57,30.93801378,9/18/03,2003,12/9/03,3/8/04,3/8/04,9/30/08,6/23/10,0,0,51.51,63.39,Energy,Electricity transmission and distribution,na,na,successful,relevant,effective,efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
31352,31352,,,,LAO,Lao People's Democratic Republic,Southeast Asia,A,A,Small Towns Development Project,Project,Project loan,,COL,16,18.42,16.92261693,1/28/03,2003,7/16/03,10/14/03,10/6/03,7/31/09,7/7/10,0,0,20,21.1,Water,Urban solid waste management,na,na,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
31367,31367,,,,VIE,Viet Nam,Southeast Asia,C,B1,Provincial Roads Improvement Sector Project,Project,Sector loan,,COL,70,73.75,68.98778957,12/18/01,2001,4/2/02,7/1/02,9/3/02,12/31/06,7/8/10,0,0,100,102.96,Transportation,Road transport (non-urban),na,na,na,na,na,na,na,na,na,na
31433,31433,,,,PHI,Philippines,Southeast Asia,C,B,Power Transmission Reinforcement Project,Project,Project loan,,OCR,191.4,43.3,191.4,12/16/97,1997,1/21/98,4/21/98,4/3/98,6/30/02,4/1/05,43.6,66.3,304.2,199.9,Energy,Electricity transmission and distribution,na,na,na,na,na,na,na,na,na,na
31435,31435,,,,IND,India,South Asia,B,B2,Western Transport Corridor Project,Project,Project loan,,OCR,240,145.6,240,9/20/01,2001,12/14/01,3/14/02,2/4/02,12/31/05,8/26/08,0,0,378,460.4,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory
31467,31467,,,,PNG,Papua New Guinea,Pacific,B,B2,Provincial Towns Water Supply and Sanitation Project,Project,Project loan,,COL,15.35,12.21,15.67554105,12/14/00,2000,1/16/01,4/16/01,5/31/02,9/30/05,11/12/08,1.8,0,23.3,23.16,Water,Urban water supply,na,na,less than successful,less than relevant,less than effective,inefficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
31501,31501,,,,SRI,Sri Lanka,South Asia,B,B1,Secondary Towns and Rural Community-Based Water Supply and Sanitation Project,Project,Project loan,Project loan,COL/OCR,215.5,289.83,142.1494695,1/16/03,2003,8/18/03,11/21/03,11/21/03,6/30/14,2/11/16,0,0,259.44,255.35,Water,Urban water supply,ANR,Rural water supply services,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
31588,31588,,,,IND,India,South Asia,B,B2,Urban and Environmental Infrastructure Facility (ICICI) Project,Project,DFI,,OCR,80,27.35,80,12/17/99,1999,5/19/00,9/22/00,9/22/00,9/22/06,5/29/06,0,0,nda,119.5,Water,"Urban policy, institutional and capacity development",na,na,unsuccessful,less than relevant,ineffective,less than efficient,unlikely sustainable,nr,nr,satisfactory
31604,31604,,,,INO,Indonesia,Southeast Asia,C,B2,Capacity Building for Establishment of a Competitive Electricity Market,Project,TA loan,,OCR,20,7.81,20,3/23/99,1999,3/23/99,6/21/99,3/23/99,10/1/02,12/22/04,0,0,20,7.82,Energy,Energy sector development and institutional reform,na,na,less than successful,less than relevant,less than effective,inefficient,less than likely sustainable,satisfactory,satisfactory,satisfactory
32036,32036,,,,MLD,Maldives,South Asia,A,A,Outer Islands Electrification (Sector) Project,Project,Sector loan,,COL,8,9.48,7.91848259,12/18/01,2001,4/26/02,7/25/02,7/25/02,12/31/05,8/30/10,0,0,10.6,13.63,Energy,Energy sector development and institutional reform,na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
32058,32058,,,,PAK,Pakistan,Central and West Asia,B,B1,Punjab Road Development Sector Project,Project,Sector loan,,OCR,150,82.12,155.516294,10/31/02,2002,3/26/03,6/24/03,6/26/03,12/31/08,9/2/09,0,0,222.1,119.6,Transportation,Road transport (non-urban),na,na,less than successful,relevant,less than effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
32058,32058,,,,PAK,Pakistan,Central and West Asia,B,B1,Road Sector Development Program - PSDPC/PSRPC,Project,SDP - Sector loan,,COL/OCR,150,123.84,142.2545467,12/19/01,2001,2/1/02,5/1/02,9/25/02,6/30/07,7/16/10,15,14.72,236,195.33,Transportation,Road transport (non-urban),na,na,successful,relevant,effective,efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
32058,32058,,,,PAK,Pakistan,Central and West Asia,B,B1,Road Sector Development Program - Provincial Sector Development Project Component,Project,SDP - Project loan,,OCR,75,63.04,68.62765757,12/19/01,2001,2/1/02,5/1/02,9/25/02,6/30/07,7/16/10,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
32058,32058,,,,PAK,Pakistan,Central and West Asia,B,B1,Road Sector Development Program - Provicial Sector Reform Project Component,Project,SDP - Project loan,,COL,75,60.79,73.62688916,12/19/01,2001,2/1/02,5/1/02,9/25/02,6/30/07,7/16/10,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
32058,32058,,,,PAK,Pakistan,Central and West Asia,B,B1,Road Sector Development Program (Program),Program,SDP - Policy  loan,,OCR,200,174.6,45.75,12/19/01,2001,2/1/02,5/2/02,6/27/02,6/30/07,6/30/07,0,0,50,50.76,Transportation,Road transport (non-urban),na,na,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory
32105,32105,,,,VIE,Viet Nam,Southeast Asia,C,B1,GMS: East-West Corridor (Regional) Project,Project,Project loan,,COL,25,22.69,24.23,12/20/99,1999,6/28/00,6/20/00,9/21/00,12/31/04,3/30/07,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
32107,32107,,,,IND,India,South Asia,B,B2,Power Transmission Improvement (Sector) Project,Project,Sector loan,,OCR,250,250,250,10/6/00,2000,12/4/00,3/4/01,1/10/01,3/31/06,8/10/07,120,0,491.5,390.94,Energy,Electricity transmission and distribution,na,na,successful,highly relevant,effective,efficient,likely sustainable,highly satisfactory,highly satisfactory,satisfactory
32124,32124,,,,PNG,Papua New Guinea,Pacific,B,B2,Road Maintenance & Upgrading (Sector) Project,Project,Project loan,,COL/OCR,131.05,110.73,115.8697925,11/16/99,1999,11/17/99,2/15/00,2/15/00,6/30/06,2/7/13,0,0,193.45,184.05,Transportation,Road transport (non-urban),na,na,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than satisfactory,less than satisfactory,satisfactory
32124,32124,,,,PNG,Papua New Guinea,Pacific,B,B2,Road Upgrading and Maintenance,Project,Project loan,,OCR,63,59.18091924,63,11/16/99,1999,11/17/99,2/15/00,2/15/00,6/30/10,11/10/10,,,,,Transportation,Road transport (non-urban),na,na,-,-,-,-,-,-,-,-
